,BarsHeld,StartDate,EndDate,Symbol,BuyPrice,SellPrice,Shares,BuyValue,SellValue,TotalRisk,PnL,RMultiple,LastRecordDate,LastPrice,LastValue,LastPnL,LastRMultiple,OpenIndicator,CloseIndicator
0,4.0,2010-01-04,2010-01-07,GMA7,7.7,7.6,12900.0,99623.0235,97162.542,19866.0,-2460.4815,-0.12,2010-01-07,7.6,97162.542,-2460.4815,-0.12,ATRChannel7|3|120,ATRChannel7|3|120
1,5.0,2010-01-04,2010-01-08,AC,252.0833,247.9167,390.0,98602.5088,95822.1598,19662.4974,-2780.3491,-0.14,2010-01-08,247.9167,95822.1598,-2780.3491,-0.14,ATRChannel7|3|120,ATRChannel7|3|120
2,5.0,2010-01-04,2010-01-08,GMAP,7.9,7.6,12600.0,99833.643,94902.948,19908.0,-4930.695,-0.25,2010-01-08,7.6,94902.948,-4930.695,-0.25,ATRChannel7|3|120,ATRChannel7|3|120
3,5.0,2010-01-04,2010-01-08,MEG,1.46,1.42,68000.0,99572.876,95695.788,19856.0,-3877.088,-0.2,2010-01-08,1.42,95695.788,-3877.088,-0.2,ATRChannel7|3|120,ATRChannel7|3|120
4,7.0,2010-01-05,2010-01-13,MAC,2.95,2.85,33000.0,97637.1825,93208.2525,19470.0,-4428.93,-0.23,2010-01-13,2.85,93208.2525,-4428.93,-0.23,ATRChannel7|3|120,ATRChannel7|3|120
5,26.0,2010-01-06,2010-02-10,EDC,4.6,4.55,21000.0,96884.97,94694.8275,19320.0,-2190.1425,-0.11,2010-02-10,4.55,94694.8275,-2190.1425,-0.11,ATRChannel7|3|120,ATRChannel7|3|120
6,8.0,2010-01-06,2010-01-15,UPM,0.009,0.0085,11000000.0,99292.05,92663.175,19800.0,-6628.875,-0.33,2010-01-15,0.0085,92663.175,-6628.875,-0.33,ATRChannel7|3|120,ATRChannel7|3|120
7,14.0,2010-01-06,2010-01-25,PNB,24.0,23.5,4100.0,98690.28,95487.6675,19680.0,-3202.6125,-0.16,2010-01-25,23.5,95487.6675,-3202.6125,-0.16,ATRChannel7|3|120,ATRChannel7|3|120
8,14.0,2010-01-06,2010-01-25,BPI,48.0,45.0,2000.0,96283.2,89194.5,19200.0,-7088.7,-0.37,2010-01-25,45.0,89194.5,-7088.7,-0.37,ATRChannel7|3|120,ATRChannel7|3|120
9,3.0,2010-01-07,2010-01-11,PCOR,5.4,5.3,18100.0,98028.333,95071.4265,19548.0,-2956.9065,-0.15,2010-01-11,5.3,95071.4265,-2956.9065,-0.15,ATRChannel7|3|120,ATRChannel7|3|120
10,13.0,2010-01-07,2010-01-25,SM,216.6667,206.6667,450.0,97787.64,92167.6649,19500.003,-5619.9752,-0.29,2010-01-25,206.6667,92167.6649,-5619.9752,-0.29,ATRChannel7|3|120,ATRChannel7|3|120
11,12.0,2010-01-08,2010-01-25,ALI,11.25,10.75,8700.0,98163.7312,92687.9512,19575.0,-5475.78,-0.28,2010-01-25,10.75,92687.9512,-5475.78,-0.28,ATRChannel7|3|120,ATRChannel7|3|120
12,6.0,2010-01-08,2010-01-18,GERI,0.34,0.31,280000.0,95480.84,86023.14,19040.0,-9457.7,-0.5,2010-01-18,0.31,86023.14,-9457.7,-0.5,ATRChannel7|3|120,ATRChannel7|3|120
13,10.0,2010-01-08,2010-01-22,PLC,0.25,0.25,390000.0,97787.625,96627.375,19500.0,-1160.25,-0.06,2010-01-22,0.25,96627.375,-1160.25,-0.06,ATRChannel7|3|120,ATRChannel7|3|120
14,18.0,2010-01-11,2010-02-03,AGI,4.5,4.5,21000.0,94778.775,93654.225,18900.0,-1124.55,-0.06,2010-02-03,4.5,93654.225,-1124.55,-0.06,ATRChannel7|3|120,ATRChannel7|3|120
